MUNICÍPIOS,ANO,SERIE_ANO,COMPETÊNCIA,MÉDIA_PROFICIÊNCIA
INDAIATUBA,2023,5º Ano EF,MATEMÁTICA,241.13
INDAIATUBA,2023,9º Ano EF,LÍNGUA PORTUGUESA,242.57
INDAIATUBA,2023,9º Ano EF,MATEMÁTICA,255.4
INDAIATUBA,2024,2º Ano EF,LÍNGUA PORTUGUESA,192.0
INDAIATUBA,2024,2º Ano EF,MATEMÁTICA,184.63
INDAIATUBA,2024,5º Ano EF,LÍNGUA PORTUGUESA,227.37
INDAIATUBA,2024,5º Ano EF,MATEMÁTICA,244.97
INDAIATUBA,2024,9º Ano EF,LÍNGUA PORTUGUESA,246.03
INDAIATUBA,2024,9º Ano EF,MATEMÁTICA,257.37
PAULINIA,2022,9º Ano EF,CIÊNCIAS,264.93
PAULINIA,2022,9º Ano EF,LÍNGUA PORTUGUESA,242.83
PAULINIA,2022,9º Ano EF,MATEMÁTICA,244.77
PAULINIA,2022,EM-3ª série,CIÊNCIAS,271.23
PAULINIA,2022,EM-3ª série,LÍNGUA PORTUGUESA,260.55
PAULINIA,2022,EM-3ª série,MATEMÁTICA,267.05
PAULINIA,2023,2º Ano EF,LÍNGUA PORTUGUESA,166.93
PAULINIA,2023,2º Ano EF,MATEMÁTICA,162.6
PAULINIA,2023,5º Ano EF,LÍNGUA PORTUGUESA,202.4
PAULINIA,2023,5º Ano EF,MATEMÁTICA,217.33
PAULINIA,2023,9º Ano EF,LÍNGUA PORTUGUESA,231.2
PAULINIA,2023,9º Ano EF,MATEMÁTICA,244.73
PAULINIA,2024,2º Ano EF,LÍNGUA PORTUGUESA,190.13
PAULINIA,2024,2º Ano EF,MATEMÁTICA,180.37
PAULINIA,2024,5º Ano EF,LÍNGUA PORTUGUESA,212.23
PAULINIA,2024,5º Ano EF,MATEMÁTICA,221.77
PAULINIA,2024,9º Ano EF,LÍNGUA PORTUGUESA,238.17
PAULINIA,2024,9º Ano EF,MATEMÁTICA,250.85
SANTA BARBARA D'OESTE,2022,2º Ano EF,LÍNGUA PORTUGUESA,159.52
SANTA BARBARA D'OESTE,2022,2º Ano EF,MATEMÁTICA,160.83
SANTA BARBARA D'OESTE,2022,5º Ano EF,CIÊNCIAS,231.97
SANTA BARBARA D'OESTE,2022,5º Ano EF,LÍNGUA PORTUGUESA,208.7
SANTA BARBARA D'OESTE,2022,5º Ano EF,MATEMÁTICA,231.02
SANTA BARBARA D'OESTE,2022,9º Ano EF,CIÊNCIAS,276.03
SANTA BARBARA D'OESTE,2022,9º Ano EF,LÍNGUA PORTUGUESA,254.37
SANTA BARBARA D'OESTE,2022,9º Ano EF,MATEMÁTICA,262.53
SANTA BARBARA D'OESTE,2022,EM-3ª série,CIÊNCIAS,275.5
SANTA BARBARA D'OESTE,2022,EM-3ª série,LÍNGUA PORTUGUESA,270.82
SANTA BARBARA D'OESTE,2022,EM-3ª série,MATEMÁTICA,273.55
SANTA BARBARA D'OESTE,2023,2º Ano EF,LÍNGUA PORTUGUESA,178.77
SANTA BARBARA D'OESTE,2023,2º Ano EF,MATEMÁTICA,172.95
SANTA BARBARA D'OESTE,2023,5º Ano EF,LÍNGUA PORTUGUESA,212.12
SANTA BARBARA D'OESTE,2023,5º Ano EF,MATEMÁTICA,230.48
SANTA BARBARA D'OESTE,2023,9º Ano EF,LÍNGUA PORTUGUESA,242.6
SANTA BARBARA D'OESTE,2023,9º Ano EF,MATEMÁTICA,256.97
SANTA BARBARA D'OESTE,2024,2º Ano EF,LÍNGUA PORTUGUESA,202.0
SANTA BARBARA D'OESTE,2024,2º Ano EF,MATEMÁTICA,201.22
SANTA BARBARA D'OESTE,2024,5º Ano EF,LÍNGUA PORTUGUESA,220.02
SANTA BARBARA D'OESTE,2024,5º Ano EF,MATEMÁTICA,238.12
SANTA BARBARA D'OESTE,2024,9º Ano EF,LÍNGUA PORTUGUESA,247.73
SANTA BARBARA D'OESTE,2024,9º Ano EF,MATEMÁTICA,259.93
SUMARE,2022,2º Ano EF,LÍNGUA PORTUGUESA,169.87
SUMARE,2022,2º Ano EF,MATEMÁTICA,172.52
SUMARE,2022,5º Ano EF,CIÊNCIAS,215.55
SUMARE,2022,5º Ano EF,LÍNGUA PORTUGUESA,190.85
SUMARE,2022,5º Ano EF,MATEMÁTICA,203.8
SUMARE,2022,9º Ano EF,CIÊNCIAS,263.64
SUMARE,2022,9º Ano EF,LÍNGUA PORTUGUESA,242.04
SUMARE,2022,9º Ano EF,MATEMÁTICA,248.08
SUMARE,2022,EM-3ª série,CIÊNCIAS,274.2
SUMARE,2022,EM-3ª série,LÍNGUA PORTUGUESA,267.37
SUMARE,2022,EM-3ª série,MATEMÁTICA,269.77
SUMARE,2023,2º Ano EF,LÍNGUA PORTUGUESA,177.48
SUMARE,2023,2º Ano EF,MATEMÁTICA,171.57
SUMARE,2023,5º Ano EF,LÍNGUA PORTUGUESA,197.63
SUMARE,2023,5º Ano EF,MATEMÁTICA,210.77
SUMARE,2023,9º Ano EF,LÍNGUA PORTUGUESA,140.6
SUMARE,2023,9º Ano EF,MATEMÁTICA,146.42
SUMARE,2024,2º Ano EF,LÍNGUA PORTUGUESA,196.27
SUMARE,2024,2º Ano EF,MATEMÁTICA,200.63
SUMARE,2024,5º Ano EF,LÍNGUA PORTUGUESA,201.0
SUMARE,2024,5º Ano EF,MATEMÁTICA,214.7
SUMARE,2024,9º Ano EF,LÍNGUA PORTUGUESA,234.23
SUMARE,2024,9º Ano EF,MATEMÁTICA,248.17
VALINHOS,2022,2º Ano EF,LÍNGUA PORTUGUESA,151.7
VALINHOS,2022,2º Ano EF,MATEMÁTICA,155.37
VALINHOS,2022,5º Ano EF,CIÊNCIAS,235.5
VALINHOS,2022,5º Ano EF,LÍNGUA PORTUGUESA,206.73
VALINHOS,2022,5º Ano EF,MATEMÁTICA,217.9
VALINHOS,2022,9º Ano EF,CIÊNCIAS,275.38
VALINHOS,2022,9º Ano EF,LÍNGUA PORTUGUESA,253.08
VALINHOS,2022,9º Ano EF,MATEMÁTICA,256.17
VALINHOS,2022,EM-3ª série,CIÊNCIAS,290.6
VALINHOS,2022,EM-3ª série,LÍNGUA PORTUGUESA,276.93
VALINHOS,2022,EM-3ª série,MATEMÁTICA,281.53
VALINHOS,2023,2º Ano EF,LÍNGUA PORTUGUESA,169.53
VALINHOS,2023,2º Ano EF,MATEMÁTICA,161.73
VALINHOS,2023,5º Ano EF,LÍNGUA PORTUGUESA,207.97
VALINHOS,2023,5º Ano EF,MATEMÁTICA,216.97
VALINHOS,2023,9º Ano EF,LÍNGUA PORTUGUESA,117.07
VALINHOS,2023,9º Ano EF,MATEMÁTICA,119.03
VALINHOS,2024,2º Ano EF,LÍNGUA PORTUGUESA,175.37
VALINHOS,2024,2º Ano EF,MATEMÁTICA,163.77
VALINHOS,2024,5º Ano EF,LÍNGUA PORTUGUESA,208.8
VALINHOS,2024,5º Ano EF,MATEMÁTICA,218.2
VALINHOS,2024,9º Ano EF,LÍNGUA PORTUGUESA,240.37
VALINHOS,2024,9º Ano EF,MATEMÁTICA,260.93
