DEPADM;DEPBOL;NOMEDEPBOL;CODRMET;CODMUN;MUN;SERIE_ANO;COD_PER;PERIODO;CO_COMP;DS_COMP;MEDPROF
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;278
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;264,4
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;9º Ano EF;9;GERAL;2;MATEMÁTICA;278
1;1;Rede Estadual;5;154;AGUAS DA PRATA;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;251,3
1;1;Rede Estadual;5;154;AGUAS DA PRATA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;251,3
1;1;Rede Estadual;5;154;AGUAS DA PRATA;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;246,2
1;1;Rede Estadual;5;154;AGUAS DA PRATA;9º Ano EF;2;TARDE;2;MATEMÁTICA;234,1
1;1;Rede Estadual;5;154;AGUAS DA PRATA;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;249,7
1;1;Rede Estadual;5;154;AGUAS DA PRATA;9º Ano EF;9;GERAL;2;MATEMÁTICA;245,7
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;223,8
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;241,2
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;241,5
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;2;TARDE;2;MATEMÁTICA;264,5
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;229
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;9;GERAL;2;MATEMÁTICA;248
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;216,8
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;2º Ano EF;2;TARDE;2;MATEMÁTICA;224,5
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;216,8
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;2º Ano EF;9;GERAL;2;MATEMÁTICA;224,5
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;200,9
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;5º Ano EF;2;TARDE;2;MATEMÁTICA;211,4
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;200,9
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;5º Ano EF;9;GERAL;2;MATEMÁTICA;211,4
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;230,3
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;249,5
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;230,3
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;9º Ano EF;9;GERAL;2;MATEMÁTICA;249,5
1;1;Rede Estadual;5;158;ALTAIR;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;237,7
1;1;Rede Estadual;5;158;ALTAIR;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;276,1
1;1;Rede Estadual;5;158;ALTAIR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;237,7
1;1;Rede Estadual;5;158;ALTAIR;9º Ano EF;9;GERAL;2;MATEMÁTICA;276,1
1;1;Rede Estadual;6;159;ALTINOPOLIS;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;234,3
