DEPADM;DepBol;NomeDepBol;codRMet;CODMUN;MUN;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;5;150;ADAMANTINA;EM-3ª série;3;NOITE;3;CIÊNCIAS;258,2
1;1;Rede Estadual;5;150;ADAMANTINA;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;248,4
1;1;Rede Estadual;5;150;ADAMANTINA;EM-3ª série;9;GERAL;2;MATEMÁTICA;262,2
1;1;Rede Estadual;5;150;ADAMANTINA;EM-3ª série;9;GERAL;3;CIÊNCIAS;260
1;1;Rede Estadual;5;151;ADOLFO;EM-3ª série;1;MANHÃ;1;LÍNGUA PORTUGUESA;295,7
1;1;Rede Estadual;5;151;ADOLFO;EM-3ª série;1;MANHÃ;2;MATEMÁTICA;283,6
1;1;Rede Estadual;5;151;ADOLFO;EM-3ª série;1;MANHÃ;3;CIÊNCIAS;290
1;1;Rede Estadual;5;151;ADOLFO;EM-3ª série;3;NOITE;1;LÍNGUA PORTUGUESA;283,1
1;1;Rede Estadual;5;151;ADOLFO;EM-3ª série;3;NOITE;2;MATEMÁTICA;326,5
1;1;Rede Estadual;5;151;ADOLFO;EM-3ª série;3;NOITE;3;CIÊNCIAS;280,8
1;1;Rede Estadual;5;151;ADOLFO;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;287,3
1;1;Rede Estadual;5;151;ADOLFO;EM-3ª série;9;GERAL;2;MATEMÁTICA;312,2
1;1;Rede Estadual;5;151;ADOLFO;EM-3ª série;9;GERAL;3;CIÊNCIAS;284,2
1;1;Rede Estadual;5;152;AGUAI;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;183,7
1;1;Rede Estadual;5;152;AGUAI;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;193,9
1;1;Rede Estadual;5;152;AGUAI;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;183,7
1;1;Rede Estadual;5;152;AGUAI;2º Ano EF;9;GERAL;2;MATEMÁTICA;193,9
