NO_MUNICIPIO,TP_DEPENDENCIA,QT_DOC_BAS,QT_MAT_BAS,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_BAS_0_3,QT_MAT_BAS_4_5,QT_MAT_BAS_6_10,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_MAT_BAS_18_MAIS,IN_BIBLIOTECA,IN_LABORATORIO_INFORMATICA,IN_INTERNET,IN_QUADRA_ESPORTES,IN_REFEITORIO,ANO
Adamantina,2,46.0,975.0,0.0,341.0,0.0,0.0,3.0,329.0,528.0,115.0,0.0,1.0,1.0,1.0,1.0,2024
Adamantina,2,17.0,304.0,0.0,304.0,0.0,0.0,4.0,294.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,2024
Adamantina,2,44.0,747.0,0.0,0.0,0.0,0.0,0.0,4.0,571.0,172.0,1.0,1.0,1.0,1.0,1.0,2024
Adamantina,2,27.0,346.0,0.0,0.0,0.0,0.0,0.0,4.0,180.0,162.0,1.0,1.0,1.0,0.0,1.0,2024
Adamantina,2,25.0,481.0,0.0,330.0,0.0,0.0,6.0,315.0,152.0,8.0,0.0,1.0,1.0,1.0,1.0,2024
Adamantina,2,,,,,,,,,,,,,,,,2024
Adolfo,2,11.0,191.0,0.0,0.0,0.0,0.0,0.0,2.0,167.0,22.0,0.0,1.0,1.0,1.0,1.0,2024
Aguaí,2,20.0,445.0,0.0,412.0,0.0,0.0,3.0,371.0,70.0,1.0,1.0,0.0,1.0,1.0,1.0,2024
Aguaí,2,53.0,931.0,0.0,472.0,0.0,0.0,2.0,424.0,438.0,67.0,0.0,1.0,1.0,1.0,1.0,2024
Aguaí,2,37.0,670.0,0.0,261.0,0.0,0.0,1.0,235.0,280.0,154.0,0.0,1.0,1.0,1.0,0.0,2024
Aguaí,2,27.0,460.0,0.0,0.0,0.0,0.0,0.0,2.0,305.0,153.0,1.0,1.0,1.0,0.0,0.0,2024
Aguaí,2,,,,,,,,,,,,,,,,2024
Aguaí,2,17.0,227.0,227.0,0.0,0.0,0.0,215.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2024
Águas da Prata,2,23.0,313.0,0.0,186.0,0.0,0.0,1.0,162.0,135.0,15.0,0.0,1.0,1.0,1.0,0.0,2024
Águas da Prata,2,10.0,54.0,0.0,54.0,0.0,0.0,1.0,47.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,2024
Águas de Lindóia,2,18.0,292.0,0.0,146.0,0.0,0.0,1.0,138.0,138.0,15.0,0.0,1.0,1.0,1.0,1.0,2024
Águas de Lindóia,2,40.0,712.0,68.0,145.0,0.0,0.0,63.0,132.0,429.0,88.0,0.0,1.0,1.0,1.0,1.0,2024
Águas de Lindóia,2,,,,,,,,,,,,,,,,2024
Águas de Santa Bárbara,2,33.0,598.0,0.0,340.0,0.0,0.0,4.0,323.0,265.0,6.0,0.0,0.0,1.0,1.0,1.0,2024
Águas de São Pedro,2,11.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,8.0,0.0,1.0,1.0,1.0,1.0,2024
Agudos,2,18.0,292.0,0.0,231.0,0.0,0.0,6.0,223.0,60.0,3.0,0.0,1.0,1.0,1.0,1.0,2024
Agudos,2,27.0,485.0,0.0,238.0,0.0,0.0,3.0,215.0,243.0,24.0,0.0,1.0,1.0,1.0,1.0,2024
Agudos,2,20.0,377.0,0.0,317.0,0.0,0.0,7.0,301.0,67.0,2.0,0.0,1.0,1.0,1.0,0.0,2024
Agudos,2,27.0,631.0,0.0,293.0,0.0,0.0,4.0,284.0,317.0,26.0,0.0,1.0,1.0,1.0,0.0,2024
Agudos,2,39.0,924.0,0.0,415.0,0.0,0.0,2.0,391.0,450.0,81.0,0.0,1.0,1.0,1.0,0.0,2024
Agudos,2,10.0,142.0,0.0,72.0,0.0,0.0,1.0,72.0,67.0,2.0,0.0,1.0,1.0,1.0,1.0,2024
Alambari,2,22.0,469.0,0.0,313.0,0.0,0.0,4.0,299.0,164.0,2.0,0.0,0.0,1.0,1.0,1.0,2024
Alfredo Marcondes,2,37.0,561.0,222.0,196.0,0.0,0.0,221.0,187.0,145.0,8.0,0.0,1.0,1.0,1.0,1.0,2024
Altair,2,19.0,280.0,0.0,182.0,0.0,0.0,1.0,177.0,101.0,1.0,0.0,0.0,1.0,1.0,0.0,2024
Altinópolis,2,36.0,733.0,0.0,315.0,0.0,0.0,5.0,309.0,386.0,33.0,0.0,1.0,1.0,1.0,1.0,2024
Alto Alegre,2,26.0,286.0,0.0,150.0,0.0,0.0,0.0,139.0,134.0,13.0,0.0,1.0,1.0,1.0,0.0,2024
Alumínio,2,32.0,640.0,0.0,0.0,0.0,0.0,0.0,13.0,514.0,113.0,0.0,1.0,1.0,1.0,1.0,2024
Álvares Florence,2,13.0,186.0,0.0,84.0,0.0,0.0,0.0,85.0,100.0,1.0,0.0,1.0,1.0,1.0,0.0,2024
Álvares Machado,2,25.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,38.0,0.0,1.0,1.0,1.0,1.0,2024
Álvares Machado,2,12.0,149.0,0.0,0.0,0.0,0.0,0.0,1.0,130.0,18.0,0.0,1.0,1.0,1.0,0.0,2024
Álvaro de Carvalho,2,8.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,1.0,0.0,0.0,2024
Álvaro de Carvalho,2,20.0,269.0,0.0,172.0,0.0,0.0,4.0,170.0,92.0,3.0,0.0,1.0,1.0,1.0,0.0,2024
Álvaro de Carvalho,2,16.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,1.0,0.0,0.0,2024
Alvinlândia,2,27.0,321.0,0.0,186.0,0.0,0.0,7.0,177.0,110.0,27.0,0.0,1.0,1.0,1.0,1.0,2024
Americana,2,15.0,254.0,254.0,0.0,0.0,0.0,249.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2024
Americana,2,28.0,495.0,208.0,287.0,0.0,0.0,207.0,286.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2024
Americana,2,18.0,335.0,0.0,270.0,0.0,0.0,4.0,257.0,71.0,3.0,0.0,1.0,1.0,1.0,0.0,2024
Americana,2,28.0,473.0,0.0,335.0,0.0,0.0,11.0,317.0,137.0,8.0,0.0,1.0,1.0,1.0,0.0,2024
Americana,2,17.0,208.0,208.0,0.0,0.0,1.0,206.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2024
Americana,2,17.0,262.0,262.0,0.0,0.0,0.0,258.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2024
Americana,2,18.0,333.0,0.0,238.0,0.0,0.0,3.0,231.0,95.0,4.0,0.0,1.0,1.0,1.0,0.0,2024
Americana,2,18.0,255.0,255.0,0.0,0.0,0.0,252.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2024
Americana,2,22.0,353.0,353.0,0.0,0.0,0.0,349.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2024
Americana,2,18.0,224.0,224.0,0.0,0.0,0.0,220.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2024
Americana,2,43.0,874.0,175.0,303.0,0.0,0.0,173.0,296.0,397.0,8.0,0.0,1.0,1.0,1.0,0.0,2024
Americana,2,66.0,1294.0,0.0,220.0,0.0,0.0,5.0,212.0,1033.0,44.0,0.0,1.0,1.0,1.0,0.0,2024
Americana,2,22.0,282.0,282.0,0.0,0.0,0.0,277.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2024
Americana,2,43.0,794.0,0.0,193.0,0.0,0.0,1.0,184.0,535.0,74.0,0.0,1.0,1.0,1.0,1.0,2024
Americana,2,23.0,384.0,0.0,292.0,0.0,0.0,4.0,260.0,116.0,4.0,0.0,1.0,1.0,1.0,0.0,2024
Americana,2,22.0,432.0,0.0,0.0,0.0,0.0,0.0,15.0,406.0,11.0,0.0,1.0,1.0,1.0,1.0,2024
Americana,2,17.0,166.0,166.0,0.0,0.0,0.0,157.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2024
Americana,2,44.0,690.0,167.0,241.0,0.0,0.0,169.0,236.0,278.0,7.0,0.0,0.0,1.0,1.0,1.0,2024
Americana,2,33.0,471.0,160.0,137.0,0.0,0.0,161.0,135.0,161.0,14.0,0.0,0.0,1.0,0.0,0.0,2024
Americana,2,12.0,211.0,211.0,0.0,0.0,0.0,210.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2024
Americana,2,48.0,1101.0,0.0,367.0,0.0,0.0,2.0,340.0,727.0,32.0,0.0,1.0,1.0,1.0,0.0,2024
Americana,2,20.0,272.0,0.0,211.0,0.0,0.0,7.0,202.0,62.0,1.0,0.0,1.0,1.0,1.0,1.0,2024
Americana,2,10.0,120.0,120.0,0.0,0.0,0.0,119.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2024
Americana,2,,,,,,,,,,,,,,,,2024
Americana,2,20.0,393.0,0.0,311.0,0.0,0.0,9.0,300.0,81.0,3.0,0.0,1.0,1.0,1.0,1.0,2024
Americana,2,82.0,1650.0,0.0,0.0,0.0,0.0,0.0,35.0,1256.0,359.0,1.0,1.0,1.0,1.0,0.0,2024
Americana,2,16.0,292.0,292.0,0.0,0.0,0.0,289.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2024
Americana,2,26.0,489.0,489.0,0.0,0.0,0.0,475.0,14.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2024
Americana,2,,,,,,,,,,,,,,,,2024
Americana,2,21.0,335.0,335.0,0.0,0.0,0.0,330.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2024
Americana,2,46.0,813.0,0.0,296.0,0.0,0.0,2.0,298.0,498.0,15.0,0.0,1.0,1.0,1.0,0.0,2024
Americana,2,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2024
Americana,2,,,,,,,,,,,,,,,,2024
Americana,2,18.0,373.0,0.0,278.0,0.0,0.0,5.0,260.0,107.0,1.0,0.0,1.0,1.0,1.0,1.0,2024
Americana,2,30.0,601.0,0.0,433.0,0.0,0.0,9.0,417.0,175.0,0.0,0.0,0.0,1.0,1.0,1.0,2024
Americana,2,19.0,287.0,0.0,0.0,0.0,0.0,0.0,6.0,276.0,5.0,0.0,1.0,1.0,1.0,1.0,2024
Americana,2,12.0,176.0,0.0,134.0,0.0,0.0,2.0,126.0,46.0,2.0,0.0,1.0,1.0,1.0,0.0,2024
